"source_row_index","evaluation","raw_geometry_identity_sha256","production_geometry_fingerprint_sha256","gds_sha256","s4p_sha256","Lp_nH","Ls_nH","Qp","Qs","Qmin","K_abs","K_signed","conditional_strict","core_range","half_srf_pass","off_grid_vertices","noncanonical_edges","current_qualified","evidence_class"
34,"widthfix_000055__000055__shard_001__14ca24170e178791","4ad1c53a9533f4115ef4e73ec5a2b92809434e21df00b82e4b4451311572102b","7e8e2e2180a85820299e126cda91e913bd278dbcc6bbbe26329c530b88aef052","d846ec23946c8e1c707f878d6b19821e835be5b584c307322c6a709fade2420d","5017bf1e3e2996dc2ad1b5e180ef9966deb842e5f2f3af37851e3e691429a306",1.9470360574741037,2.4700612434600235,11.472844659276724,9.656099836261939,9.656099836261939,0.4686672873989198,0.4686672873989198,false,false,false,274,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
35,"widthfix_000056__000056__shard_001__14da8575d109d542","35993a62c9c07450f9480d14bc3506c50492bafef3fd7f0105e115808f5bee6f","b07a680a5de67f5ab8dc70a63fd7b05a2108df2125d5a7ffde2e30862d964efa","d846ec23946c8e1c707f878d6b19821e835be5b584c307322c6a709fade2420d","4d3352e6c9448d84c231a358343aa06a07611e216a15422da3464361c1f98738",2.556780553384192,2.5873419858438695,7.476358968680444,6.54860470001397,6.54860470001397,0.6750772681800319,0.6750772681800319,false,false,false,272,6,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
36,"widthfix_000058__000058__shard_001__2472a577c979d4b5","829824dae4a8dfcab45e5e60e13c86f58b8bb7985b92d970e69f75b8fd7ac984","f90ef64c35f80d97753cce46a444c95058605e40b5327984e9d6a5de736b997e","14381580bd8c8e26cc680b827cf421e2f64d0927d199a20b8d0bd45d560afa64","bc5dd4bbf461ba57ce05d6cb40118790116c160ec2b48a78ad7f5d7ea536eca1",1.583535969746303,2.42543125756784,13.929238199339569,9.540832395389794,9.540832395389794,0.3154241090812493,0.3154241090812493,false,false,false,282,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
37,"widthfix_000059__000059__shard_001__2e6bfa1bd604d52e","6150b528ef2d3cc6e2a433ab8f6b39f7d98589458588a43580fbab0402a089e3","db5cb4915bf279983aa26852342cfbae432232f8fd98eb2bcb45de9a1d2f0de5","d29027b2202c368cd0e8ed34f8b2cbd7618c449f22556ba8c88f0327584d2865","377d6bf51ef183e017368ff8d0fbee13fd2c439118631efec40f4c32554e2d30",2.254408197699536,2.44990896424148,9.943125744415447,8.736927748217214,8.736927748217214,0.4824184672748821,0.4824184672748821,false,false,false,170,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
38,"widthfix_000060__000060__shard_001__312dbf3928e7c81f","74efd4a2187eaa6a1893a710c50405f882820f9d40946e739b75d5bdb0b4bff1","387b94bcf3d0f8e3e2c5550b72eb300e7439e87f7a682cf0968bbb39adb8f760","14381580bd8c8e26cc680b827cf421e2f64d0927d199a20b8d0bd45d560afa64","4d07d1ae44699802196bbde99af4e016552f4553fdb2653da0915e0bb1d59699",2.7376519882773738,2.3349192505874203,8.215207649620863,7.944921332982393,7.944921332982393,0.3938044189570571,0.3938044189570571,false,false,false,282,2,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
39,"widthfix_000061__000061__shard_001__31819486c7ad38b6","3065811265304cc336f4795c2eb37867075005a66eadc127ac1c6c62a0578b63","bbef41a8352560c8d3b72b52e1d8fc77ce04ddf4de91ababd1790652bb03c317","d846ec23946c8e1c707f878d6b19821e835be5b584c307322c6a709fade2420d","57b9f2392961e127563c2d37c1119a5bbe0638f82f967ba18e86b97cc247dc38",2.267496496536289,2.2336587396812813,10.083551898817051,10.566036189605043,10.083551898817051,0.43506722989621666,0.43506722989621666,false,false,false,266,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
40,"widthfix_000064__000064__shard_001__467f43b2063e2df6","239eb76ab3fee59152ba441534245986a521f42d1ddfa42352ecba18d750e855","9df8876fb7c4a654db0e152717459e611339e913c683279ef732572ca70a8c6c","14381580bd8c8e26cc680b827cf421e2f64d0927d199a20b8d0bd45d560afa64","0eac663c5f0b1b6635cdb122e7c751eaa8b43c3a53ca676e866e84efc9fdc4c2",2.23749289695711,1.9136983038623805,9.621968468609902,9.178579803577945,9.178579803577945,0.5388419080517722,0.5388419080517722,false,false,false,278,0,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
41,"widthfix_000066__000066__shard_001__493eea039e1e514e","e2f21d77ab2cbf94cd2932840dad9313b9619d0368548bc95d1d07d7cfb343fb","c3f68379aff81f10560bed6988c1402c187c3945389bb58765e3d42dea606bca","d29027b2202c368cd0e8ed34f8b2cbd7618c449f22556ba8c88f0327584d2865","38ce65fe93d0b32cfb8e1bcca3ee41fccc78392d7934c2373ae7985c7f6d8a71",2.042701934909236,1.7989845826406459,11.378752556191357,12.186130031041056,11.378752556191357,0.37650264133536027,0.37650264133536027,false,false,false,276,8,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
42,"widthfix_000068__000068__shard_001__6368b017b98fefb8","429c1c8bf3782760ea2eac7647c675a100b6e1d5f62d074e11919e491fdd999b","6cd9c66f96de08bec7b1c24aa7a68610624ec2c570cdf9462a72005b4cd3a25e","14381580bd8c8e26cc680b827cf421e2f64d0927d199a20b8d0bd45d560afa64","cf39cee834a91a715d4eac3104599e7440fcd6dc7f72e690efa9a0e67f3374ed",2.156936764219976,2.373490680275326,9.54334472564165,7.667154218103379,7.667154218103379,0.4684047178019365,0.4684047178019365,false,false,false,282,10,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
43,"widthfix_000069__000069__shard_001__80232db3937781b5","effcecdc44165f39c7b0057cb194dde017cde4defc226614fcb621cb5201a715","1f7ca1fe6d1d63ac427a5936cce4b40900cc4382967351cfe83f055d28820c95","a9716271d2edcb029c386554dd1fdffab37ca577bf108f526efbf97ab0942096","c9f83a42998735dd2b85a1ff8451030cc695d3fce939ac8ff30db2f5077141dc",2.069884390700023,2.2117350286524244,10.42380849051659,8.220186844042646,8.220186844042646,0.451826699348516,0.451826699348516,false,false,false,262,4,false,"HISTORICAL_EM_RESPONSE_CURRENT_MAPPING_DIAGNOSTIC_NOT_FRESH"
