frequency_ghz,q,eligible_train_n,neighborhood_lower_inclusive,neighborhood_upper_exclusive,local_train_n,fraction_of_eligible_train,count_status,nominal_q_in_marginal_range,q_train_min,q_train_max,below_window_n,above_or_equal_window_n
17,11,1420,10.5,11.5,87,0.06126760563380282,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,12,1420,11.5,12.5,180,0.1267605633802817,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,13,1420,12.5,13.5,303,0.21338028169014084,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,14,1420,13.5,14.5,322,0.2267605633802817,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,15,1420,14.5,15.5,252,0.17746478873239438,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,16,1420,15.5,16.5,180,0.1267605633802817,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,17,1420,16.5,17.5,66,0.04647887323943662,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,18,1420,17.5,18.5,19,0.013380281690140845,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,19,1420,18.5,19.5,7,0.004929577464788733,COUNT_ONLY,True,10.089848901155069,19.18918654343283,0,0
17,20,1420,19.5,20.5,0,0.0,EMPTY,False,10.089848901155069,19.18918654343283,0,0
18,10,886,9.5,10.5,0,0.0,EMPTY,False,10.514387590915964,19.244183743173476,0,0
18,11,886,10.5,11.5,19,0.02144469525959368,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,12,886,11.5,12.5,97,0.10948081264108352,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,13,886,12.5,13.5,173,0.19525959367945825,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,14,886,13.5,14.5,190,0.2144469525959368,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,15,886,14.5,15.5,198,0.2234762979683973,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,16,886,15.5,16.5,125,0.14108352144469527,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,17,886,16.5,17.5,57,0.06433408577878104,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,18,886,17.5,18.5,21,0.023702031602708805,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,19,886,18.5,19.5,6,0.006772009029345372,COUNT_ONLY,True,10.514387590915964,19.244183743173476,0,0
18,20,886,19.5,20.5,0,0.0,EMPTY,False,10.514387590915964,19.244183743173476,0,0
19,10,537,9.5,10.5,0,0.0,EMPTY,False,10.749770826485141,19.300420214668097,0,0
19,11,537,10.5,11.5,4,0.0074487895716946,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,12,537,11.5,12.5,43,0.08007448789571694,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,13,537,12.5,13.5,87,0.16201117318435754,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,14,537,13.5,14.5,117,0.21787709497206703,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,15,537,14.5,15.5,129,0.24022346368715083,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,16,537,15.5,16.5,90,0.16759776536312848,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,17,537,16.5,17.5,40,0.074487895716946,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,18,537,17.5,18.5,19,0.035381750465549346,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,19,537,18.5,19.5,8,0.0148975791433892,COUNT_ONLY,True,10.749770826485141,19.300420214668097,0,0
19,20,537,19.5,20.5,0,0.0,EMPTY,False,10.749770826485141,19.300420214668097,0,0
20,10,279,9.5,10.5,0,0.0,EMPTY,False,11.720847875504889,19.274953856999353,0,0
20,11,279,10.5,11.5,0,0.0,EMPTY,False,11.720847875504889,19.274953856999353,0,0
20,12,279,11.5,12.5,13,0.04659498207885305,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,13,279,12.5,13.5,31,0.1111111111111111,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,14,279,13.5,14.5,62,0.2222222222222222,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,15,279,14.5,15.5,66,0.23655913978494625,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,16,279,15.5,16.5,49,0.17562724014336917,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,17,279,16.5,17.5,34,0.12186379928315412,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,18,279,17.5,18.5,17,0.06093189964157706,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,19,279,18.5,19.5,7,0.025089605734767026,COUNT_ONLY,True,11.720847875504889,19.274953856999353,0,0
20,20,279,19.5,20.5,0,0.0,EMPTY,False,11.720847875504889,19.274953856999353,0,0
