source_row_index,evaluation,raw_geometry_identity_sha256,production_geometry_fingerprint_sha256,gds_sha256,lp_nh,ls_nh,qp,qs,qmin,k_abs,signed_k,conditional_strict,core_range,q10_to20,necessary_grid_edges_pass,current_qualification,reuse_class
97633,000066__shard_001__0f2ff1f470ea0299,27f69512e39f986aeae6b5dfd92306f8a901b06b38e5045d27382a2518026216,a8d2550a21f650ffb2baf95046616d007a5d09cc0d2632ff53f2b118393e7b18,5977c9b8dd91d49e3faf3ec17479851d695a4404c57c0776641ed8ce769caf22,1.125833448901916,1.0126109703354083,18.034034295359284,18.18706296465335,18.034034295359284,0.2019613852389374,0.2019613852389374,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97634,000067__shard_001__0fbe51268b170f80,2d27755b8c25a1f9081c468c9fd565a18ad8991df1b09798e87ea832cff60130,bab6f42b0d739210c4bbc1b76913a5f44a48550725edec969a2433bd6a8b3d89,ba8e5667b53395678d907745fef3827601bf686b7a8057355b5a107454c8dfa9,1.1183901699607641,1.0311704738512113,18.207806161482043,17.86636436865681,17.86636436865681,0.20410928908579054,0.20410928908579054,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97635,000068__shard_001__10d36e69bd43fa3e,c5245268b6ece7e7ef5183914f5f35320dcd4676a275dd0739a6f804ee293a31,cd4ade8f5d7c39b50b63027433ebf668239c71d28c6a956ded1a6f3cb18e30dc,71b27531c4e41a024001e2a04034df75fa20fe5124f859a8f66a88b9c3726886,1.1111041764801868,1.0157237073382728,18.138283409377028,18.00817725749717,18.00817725749717,0.20354054131199797,0.20354054131199797,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97636,000069__shard_001__13c401225d33b184,1b5b11066073f2db2fc768eddba531832742cd87692f61c58e881189bba12e7c,8af911789e0efdcfd8a856782240e5c055224179c597e9e30e4f2c8faf7a2b44,a822ad1c7e4d9f32737c9b1daca92b1fd30f4f1d33b307e321b97f337062cbad,1.1250494985757469,1.0357521444717988,18.12478224479777,17.728454611620705,17.728454611620705,0.2035902170687764,0.2035902170687764,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97637,000070__shard_001__14861f5580786011,840a7f9c3c44de8e4708c179473525e5504dfd9c6fd9bba948852f254c996ae6,6d20b8c6e7f1737a09ba080d62934e2dd7212daa9a764cc928c7f6b8274c8c81,028178c072dd563f9938e8662511f7938db4da02ced288c4230a1ff664587fd2,1.1292383484028277,1.0224495025570768,18.118641206691674,18.02711425344523,18.02711425344523,0.19772773247023873,0.19772773247023873,true,false,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97638,000071__shard_001__1d98202075445c59,862e46f5819ffc3a4f7e488e3b74ea870f2da3056936cb618a945bf34ada49fb,21c25861a52b606c2ec79d1f42de58313fa8d880b51551b41e32362e14058c1a,b17f5361ed3e15cb43d72aa71ceca2b62d416fd3612bdde2d8970b4810edf5e8,1.1289159577057348,1.018997483108575,18.089478239863205,18.110064218500828,18.089478239863205,0.19974009112813781,0.19974009112813781,true,false,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97639,000072__shard_001__220579c33479e3bc,c1ddc65c6a6082d45923134bfb35791da6b90ba90a463e15147a0181c573f564,65cb34c906687eebb65f3b5133aba261ae9eebc2bcc9f74f03bed6623c54bab5,3205dd52beb75325c8ef82feb5e8de1b7ce2d1f14afa3b17881ba3c8491a3385,1.1278324336048733,1.0097504529508716,18.058897551039056,18.132395694340133,18.058897551039056,0.20188255883409056,0.20188255883409056,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97640,000073__shard_001__242fa36a68c73ada,afdf2c3900da4675fe0759e89ce8fa7715cab6dd36f082c1368aa359202b4dff,82aba145c6b325317bce28bf3db09b0301e48dee821e66180cbd1f3184fed4c4,4cdfb5b7aa7f001244740bad59155c9a9363b9b69245a1288d11e15ba4f4aa2d,1.1560630763193889,1.0209864832662907,17.68101494951819,18.05622778573956,17.68101494951819,0.20336908580758942,0.20336908580758942,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97641,000074__shard_001__28293cb887fa355b,450853087c5a9851dc102e6735f58bb505a1918f293975b801e5f63bf87b5039,044d44b5e81397f210beda4f65e6fb33851401a734ff5a49f85cc9edfd33e8e1,ccd6e05f3d75cd3bbebcbf47cd0571cbf654cb262cf27662043e84b5d43e92fb,1.1368209390460893,1.0218477368757337,17.866635878828607,18.00573813443283,17.866635878828607,0.1983715564408071,0.1983715564408071,true,false,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
97642,000075__shard_001__2e839c33a834d106,77de8562a84dd02c4111e2c85d96f403d697f2e4a76603f355402845c31e5e79,baf708b7e88dd39181e44b2379d201774a5e6804525e98fb203a8d5cd6c16fc9,a9859aae41c82b2d2b423e0cac36a5df0dd560ec25c8784ce0f512b11d6c8371,1.107006181877333,0.9935520613120663,18.196500821000075,18.28250667826981,18.196500821000075,0.20338444825346777,0.20338444825346777,true,true,true,true,UNPROVEN,B_RAW_RESPONSE_WITH_MISSING_CURRENT_EVIDENCE
