grid_n,split,frequency_hz,lp_bin,ls_bin,k_bin,empty_all_q,unobserved_is_not_proven_unreachable,lp_low_nh,lp_high_nh,ls_low_nh,ls_high_nh,k_low,k_high,N_strict_core_all_q,N_strict_core_q10_20,N_q_below10,N_q10_12,N_q12_14,N_q14_16,N_q16_18,N_q18_20,N_q_above20
8,train,15000000000,1,5,4,True,True,0.6875,0.875,1.4375,1.625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,5,5,True,True,0.6875,0.875,1.4375,1.625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,5,6,True,True,0.6875,0.875,1.4375,1.625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,5,7,True,True,0.6875,0.875,1.4375,1.625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,0,False,True,0.6875,0.875,1.625,1.8125,0.2,0.28125,1,1,0,1,0,0,0,0,0
8,train,15000000000,1,6,1,True,True,0.6875,0.875,1.625,1.8125,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,2,True,True,0.6875,0.875,1.625,1.8125,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,3,True,True,0.6875,0.875,1.625,1.8125,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,4,True,True,0.6875,0.875,1.625,1.8125,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,5,True,True,0.6875,0.875,1.625,1.8125,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,6,True,True,0.6875,0.875,1.625,1.8125,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,6,7,True,True,0.6875,0.875,1.625,1.8125,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,0,True,True,0.6875,0.875,1.8125,2.0,0.2,0.28125,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,1,True,True,0.6875,0.875,1.8125,2.0,0.28125,0.3625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,2,True,True,0.6875,0.875,1.8125,2.0,0.3625,0.44375,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,3,True,True,0.6875,0.875,1.8125,2.0,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,4,True,True,0.6875,0.875,1.8125,2.0,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,5,True,True,0.6875,0.875,1.8125,2.0,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,6,True,True,0.6875,0.875,1.8125,2.0,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,1,7,7,True,True,0.6875,0.875,1.8125,2.0,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,0,0,False,True,0.875,1.0625,0.5,0.6875,0.2,0.28125,9,9,0,0,1,5,3,0,0
8,train,15000000000,2,0,1,False,True,0.875,1.0625,0.5,0.6875,0.28125,0.3625,5,5,0,0,0,5,0,0,0
8,train,15000000000,2,0,2,False,True,0.875,1.0625,0.5,0.6875,0.3625,0.44375,3,3,0,0,2,1,0,0,0
8,train,15000000000,2,0,3,True,True,0.875,1.0625,0.5,0.6875,0.44375,0.5249999999999999,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,0,4,True,True,0.875,1.0625,0.5,0.6875,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,0,5,True,True,0.875,1.0625,0.5,0.6875,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,0,6,True,True,0.875,1.0625,0.5,0.6875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,0,7,True,True,0.875,1.0625,0.5,0.6875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,1,0,False,True,0.875,1.0625,0.6875,0.875,0.2,0.28125,47,47,0,0,8,26,12,1,0
8,train,15000000000,2,1,1,False,True,0.875,1.0625,0.6875,0.875,0.28125,0.3625,37,37,0,0,6,22,9,0,0
8,train,15000000000,2,1,2,False,True,0.875,1.0625,0.6875,0.875,0.3625,0.44375,14,14,0,0,1,13,0,0,0
8,train,15000000000,2,1,3,False,True,0.875,1.0625,0.6875,0.875,0.44375,0.5249999999999999,3,3,0,0,0,3,0,0,0
8,train,15000000000,2,1,4,True,True,0.875,1.0625,0.6875,0.875,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,1,5,True,True,0.875,1.0625,0.6875,0.875,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,1,6,True,True,0.875,1.0625,0.6875,0.875,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,1,7,True,True,0.875,1.0625,0.6875,0.875,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,2,0,False,True,0.875,1.0625,0.875,1.0625,0.2,0.28125,62,62,0,0,3,28,29,2,0
8,train,15000000000,2,2,1,False,True,0.875,1.0625,0.875,1.0625,0.28125,0.3625,60,60,0,0,7,33,20,0,0
8,train,15000000000,2,2,2,False,True,0.875,1.0625,0.875,1.0625,0.3625,0.44375,24,24,0,0,4,20,0,0,0
8,train,15000000000,2,2,3,False,True,0.875,1.0625,0.875,1.0625,0.44375,0.5249999999999999,9,9,0,0,3,6,0,0,0
8,train,15000000000,2,2,4,True,True,0.875,1.0625,0.875,1.0625,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,2,5,True,True,0.875,1.0625,0.875,1.0625,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,2,6,True,True,0.875,1.0625,0.875,1.0625,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,2,7,True,True,0.875,1.0625,0.875,1.0625,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,3,0,False,True,0.875,1.0625,1.0625,1.25,0.2,0.28125,79,79,0,0,10,57,12,0,0
8,train,15000000000,2,3,1,False,True,0.875,1.0625,1.0625,1.25,0.28125,0.3625,59,59,0,0,17,39,3,0,0
8,train,15000000000,2,3,2,False,True,0.875,1.0625,1.0625,1.25,0.3625,0.44375,27,27,0,0,9,18,0,0,0
8,train,15000000000,2,3,3,False,True,0.875,1.0625,1.0625,1.25,0.44375,0.5249999999999999,9,9,0,1,5,3,0,0,0
8,train,15000000000,2,3,4,True,True,0.875,1.0625,1.0625,1.25,0.5249999999999999,0.60625,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,3,5,True,True,0.875,1.0625,1.0625,1.25,0.60625,0.6875,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,3,6,True,True,0.875,1.0625,1.0625,1.25,0.6875,0.7687499999999998,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,3,7,True,True,0.875,1.0625,1.0625,1.25,0.7687499999999998,0.85,0,0,0,0,0,0,0,0,0
8,train,15000000000,2,4,0,False,True,0.875,1.0625,1.25,1.4375,0.2,0.28125,99,99,0,10,63,26,0,0,0
8,train,15000000000,2,4,1,False,True,0.875,1.0625,1.25,1.4375,0.28125,0.3625,47,47,0,2,34,11,0,0,0
8,train,15000000000,2,4,2,False,True,0.875,1.0625,1.25,1.4375,0.3625,0.44375,9,9,0,1,6,2,0,0,0
